branch,branch_type,solid_mode,core_mode,dn_extra_um,segment,target,dn_comp_total_um,pressure_solution,solid_init,solid_solution,F_contact,F_film_raw_swept,F_film_raw_masked,F_film_support,F_total_support,MaxP_raw,AvgH,MinH,MaxH,MinTheta,LowThetaAreaRatio02,MinGap,MaxTn,active_contact_area_over_patch,BpressOverSwept,McoreOverSwept,TffSelectionLocal,GeomGapMin,GeomGapAvgClip,GeomGapLtMinus100Ratio,PairSourceGapMin,PairSourceGapAvgClip,PairSourceGapLtMinus100Ratio,PairDestinationGapMin,PairDestinationGapAvgClip,PairDestinationGapLtMinus100Ratio,Dst2SrcGapMin,Dst2SrcGapAvgClip,Dst2SrcGapLtMinus100Ratio,InContactSourceRatio,PairSourceArea,PairDestinationArea,TnAreaGt0p1MPa,TnAreaGt0p5MPa,TnAreaGt1MPa,TnLoadFracGt0p1MPa,TnLoadFracGt0p5MPa,TnLoadFracGt1MPa,AvgTnActive,status
PRESSURE_RESET_NORMAL_PLUS_CORE_0100_DN21P5UM_TO_075_RESET,NORMAL_PLUS_CORE_0100_DN20_SPLIT_FORWARD_075,RESET,CORE_0100,21.5000000000,0875,0.875000000000,23.7500000000,sol533,sol512,sol534,0.0331965127540,9.32942204684e-131,1.13148267232e-132,1.13148267232e-132,0.0331965127540,2.59717565002e-126,3.00000000000e-06,0.00300000000000,0.00300000000000,1.00000000000,0.00000000000,Infinity,0.00000000000,0.00000000000,0.0228749423002,0.0905577860756,true,Infinity,0.000500000000000,0.00000000000,-0.0215945998763,8.40647095317e-06,0.00000000000,-0.0142270206472,0.000469826903568,0.00000000000,-0.0147291196388,5.05663206244e-06,0.00000000000,0.776870061983,8.00602136685e-06,0.000138009601237,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,NaN,MARGINAL
PRESSURE_RESET_NORMAL_PLUS_CORE_0100_DN21P8UM_TO_075_RESET,NORMAL_PLUS_CORE_0100_DN20_SPLIT_FORWARD_075,RESET,CORE_0100,21.7500000000,0875,0.875000000000,24.0000000000,sol535,sol512,sol536,0.0333039708386,9.32942204684e-131,1.13148267232e-132,1.13148267232e-132,0.0333039708386,2.59717565002e-126,3.00000000000e-06,0.00300000000000,0.00300000000000,1.00000000000,0.00000000000,Infinity,0.00000000000,0.00000000000,0.0228749423002,0.0905577860756,true,Infinity,0.000500000000000,0.00000000000,-0.0216257183388,8.38850888633e-06,0.00000000000,-0.0143003239978,0.000469825916021,0.00000000000,-0.0147529879899,5.04037814358e-06,0.00000000000,0.776870061983,8.00602136685e-06,0.000138009601237,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,NaN,MARGINAL
PRESSURE_RESET_NORMAL_PLUS_CORE_0100_DN22P0UM_TO_075_RESET,NORMAL_PLUS_CORE_0100_DN20_SPLIT_FORWARD_075,RESET,CORE_0100,22.0000000000,0875,0.875000000000,24.2500000000,sol537,sol512,sol538,0.0333966254148,9.32942204684e-131,1.13148267232e-132,1.13148267232e-132,0.0333966254148,2.59717565002e-126,3.00000000000e-06,0.00300000000000,0.00300000000000,1.00000000000,0.00000000000,Infinity,0.00000000000,0.00000000000,0.0228749423002,0.0905577860756,true,Infinity,0.000500000000000,0.00000000000,-0.0216570068871,8.36838386657e-06,0.00000000000,-0.0143651470280,0.000469824959215,0.00000000000,-0.0147770729264,5.02144251235e-06,0.00000000000,0.776870061983,8.00602136685e-06,0.000138009601237,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,NaN,MARGINAL
PRESSURE_RESET_NORMAL_PLUS_CORE_0100_DN20P0UM_TO_075_REUSE,NORMAL_PLUS_CORE_0100_DN20_SPLIT_FORWARD_075,REUSE,CORE_0100,20.0000000000,0875,0.875000000000,22.2500000000,sol539,sol522,sol540,0.0325074417315,9.32942204684e-131,1.13148267232e-132,1.13148267232e-132,0.0325074417315,2.59717565002e-126,3.00000000000e-06,0.00300000000000,0.00300000000000,1.00000000000,0.00000000000,Infinity,0.00000000000,0.00000000000,0.0228749423002,0.0905577860756,true,Infinity,0.000500000000000,0.00000000000,-0.0212757986088,8.43079872160e-06,0.00000000000,-0.0146779583136,0.000469996590208,0.00000000000,-0.0145138987848,5.15351461793e-06,0.00000000000,0.772200344378,8.00602136685e-06,0.000138009601237,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,NaN,PASS
PRESSURE_RESET_NORMAL_PLUS_CORE_0100_DN21P0UM_TO_075_REUSE,NORMAL_PLUS_CORE_0100_DN20_SPLIT_FORWARD_075,REUSE,CORE_0100,21.0000000000,0875,0.875000000000,23.2500000000,sol541,sol522,sol542,0.0329543277169,9.32942204684e-131,1.13148267232e-132,1.13148267232e-132,0.0329543277169,2.59717565002e-126,3.00000000000e-06,0.00300000000000,0.00300000000000,1.00000000000,0.00000000000,Infinity,0.00000000000,0.00000000000,0.0228749423002,0.0905577860756,true,Infinity,0.000500000000000,0.00000000000,-0.0214182388903,8.39921478032e-06,0.00000000000,-0.0146876868830,0.000469994116599,0.00000000000,-0.0146212954196,5.12354478526e-06,0.00000000000,0.772465389727,8.00602136685e-06,0.000138009601237,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,NaN,PASS
PRESSURE_RESET_NORMAL_PLUS_CORE_0100_DN21P3UM_TO_075_REUSE,NORMAL_PLUS_CORE_0100_DN20_SPLIT_FORWARD_075,REUSE,CORE_0100,21.2500000000,0875,0.875000000000,23.5000000000,sol543,sol522,sol544,0.0330383881188,9.32942204684e-131,1.13148267232e-132,1.13148267232e-132,0.0330383881188,2.59717565002e-126,3.00000000000e-06,0.00300000000000,0.00300000000000,1.00000000000,0.00000000000,Infinity,0.00000000000,0.00000000000,0.0228749423002,0.0905577860756,true,Infinity,0.000500000000000,0.00000000000,-0.0214496922379,8.38925219761e-06,0.00000000000,-0.0145200862380,0.000469944962111,0.00000000000,-0.0146455662438,5.11452830488e-06,0.00000000000,0.772569098300,8.00602136685e-06,0.000138009601237,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,NaN,MARGINAL
PRESSURE_RESET_NORMAL_PLUS_CORE_0100_DN21P5UM_TO_075_REUSE,NORMAL_PLUS_CORE_0100_DN20_SPLIT_FORWARD_075,REUSE,CORE_0100,21.5000000000,0875,0.875000000000,23.7500000000,sol545,sol522,sol546,0.0331956071609,9.32942204684e-131,1.13148267232e-132,1.13148267232e-132,0.0331956071609,2.59717565002e-126,3.00000000000e-06,0.00300000000000,0.00300000000000,1.00000000000,0.00000000000,Infinity,0.00000000000,0.00000000000,0.0228749423002,0.0905577860756,true,Infinity,0.000500000000000,0.00000000000,-0.0214771999150,8.37930042693e-06,0.00000000000,-0.0152986401276,0.000469944142858,0.00000000000,-0.0146669507888,5.10534229914e-06,0.00000000000,0.772569098300,8.00602136685e-06,0.000138009601237,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,NaN,MARGINAL
PRESSURE_RESET_NORMAL_PLUS_CORE_0100_DN21P8UM_TO_075_REUSE,NORMAL_PLUS_CORE_0100_DN20_SPLIT_FORWARD_075,REUSE,CORE_0100,21.7500000000,0875,0.875000000000,24.0000000000,sol547,sol522,sol548,0.0332785624213,9.32942204684e-131,1.13148267232e-132,1.13148267232e-132,0.0332785624213,2.59717565002e-126,3.00000000000e-06,0.00300000000000,0.00300000000000,1.00000000000,0.00000000000,Infinity,0.00000000000,0.00000000000,0.0228749423002,0.0905577860756,true,Infinity,0.000500000000000,0.00000000000,-0.0215088767514,8.36204331461e-06,0.00000000000,-0.0153510599542,0.000469991957986,0.00000000000,-0.0146912434680,5.08981014106e-06,0.00000000000,0.772569098300,8.00602136685e-06,0.000138009601237,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,NaN,MARGINAL
PRESSURE_RESET_NORMAL_PLUS_CORE_0100_DN22P0UM_TO_075_REUSE,NORMAL_PLUS_CORE_0100_DN20_SPLIT_FORWARD_075,REUSE,CORE_0100,22.0000000000,0875,0.875000000000,24.2500000000,sol549,sol522,sol550,0.0333919301376,9.32942204684e-131,1.13148267232e-132,1.13148267232e-132,0.0333919301376,2.59717565002e-126,3.00000000000e-06,0.00300000000000,0.00300000000000,1.00000000000,0.00000000000,Infinity,0.00000000000,0.00000000000,0.0228749423002,0.0905577860756,true,Infinity,0.000500000000000,0.00000000000,-0.0215398254966,8.35233298493e-06,0.00000000000,-0.0155213861430,0.000469991306698,0.00000000000,-0.0147149488090,5.08070636913e-06,0.00000000000,0.772569098300,8.00602136685e-06,0.000138009601237,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,NaN,MARGINAL
